clause_id,source_document,clause_text,suggested_cat,suggested_risk,category,risk_level,annotator_notes,confidence,matched_keywords
snapchat_cr_001,snapchat_tos.txt,"For all Services other than Live, Local, and any other crowd-sourced Service, you grant Snapchat a worldwide, royalty-free, sublicensable, and transferable license to host, store, use, display, reproduce, modify, adapt, edit, publish, and distribute that content. This license is for the limited purpose of operating, developing, providing, promoting, and improving the Services and researching and developing new ones.",content_rights,HIGH,content_rights,HIGH,"This clause grants Snapchat a broad worldwide, transferable, sublicensable license to use, modify, publish, and distribute user content, so it fits content_rights and poses high risk because users give up significant control over how their content can be reused.",0.9,"worldwide, royalty-free, sublicensable, transferable; reproduce, modify, adapt; developing new ones"
snapchat_cr_002,snapchat_tos.txt,"Because Live, Local, and any other crowd-sourced Services are inherently public and chronicle matters of public interest, the license you grant us for content submitted to those Services is broader. You also grant us a perpetual license to create derivative works from, promote, exhibit, broadcast, syndicate, sublicense, publicly perform, and publicly display Public Content in any form and in any and all media or distribution methods now known or later developed.",content_rights,HIGH,content_rights,HIGH,"This clause is content_rights because it gives Snapchat a perpetual right to create derivative works and publicly exploit crowd-sourced content in any media, which is high risk due to the unusually broad and lasting reuse rights.",0.9,perpetual license; derivative works; broadcast; syndicate; sublicense; any and all media
snapchat_cr_003,snapchat_tos.txt,"To the extent it is necessary, you also grant Snapchat and our business partners the unrestricted, worldwide, perpetual right and license to use your name, likeness, and voice solely in Live, Local, or other crowd-sourced content that you appear in, create, upload, post, or send.",content_rights,HIGH,content_rights,HIGH,"This clause is content_rights because it gives Snapchat and its business partners an unrestricted, worldwide, perpetual license to use a user's name, likeness, and voice, creating high risk through expansive commercialization rights over personal identity elements.",0.9,"unrestricted, worldwide, perpetual; use your name, likeness, and voice; business partners"
snapchat_cr_004,snapchat_tos.txt,"This means, among other things, that you will not be entitled to any compensation from Snap Inc. or our affiliates and business partners if your name, likeness, or voice is conveyed through Live, Local, or other crowd-sourced Services, either on the Snapchat application or on one of our business partners' platforms.",content_rights,HIGH,content_rights,HIGH,"This clause is content_rights because it confirms that Snapchat and partner platforms may use a user's name, likeness, or voice without compensation, making the risk high because users waive payment and control over commercial use.",0.9,"not entitled to any compensation; name, likeness, or voice; business partners' platforms"
snapchat_cr_005,snapchat_tos.txt,"While we are not required to do so, we may access, review, screen, and delete your content at any time and for any reason, including if we think your content violates these Terms. You alone though remain responsible for the content you create, upload, post, send, or store through the Service.",content_rights,MEDIUM,content_rights,MEDIUM,"This clause is best categorized as content_rights because Snapchat reserves the right to access, review, and delete user content at any time, creating medium risk by giving the platform broad unilateral control over content availability.",0.9,"access, review, screen, delete; any time; any reason"
snapchat_arb_001,snapchat_tos.txt,"EXCEPT FOR CERTAIN TYPES OF DISPUTES MENTIONED IN THE ARBITRATION CLAUSE, YOU AND SNAPCHAT AGREE THAT DISPUTES BETWEEN US WILL BE RESOLVED BY MANDATORY BINDING ARBITRATION, AND YOU AND SNAPCHAT WAIVE ANY RIGHT TO PARTICIPATE IN A CLASS-ACTION LAWSUIT OR CLASS-WIDE ARBITRATION.",arbitration,HIGH,arbitration,HIGH,"This clause is arbitration because it requires mandatory binding arbitration and waives class actions, which is high risk because it significantly restricts a user's ability to pursue disputes in court.",0.9,mandatory binding arbitration; waive any right; class-action lawsuit; class-wide arbitration
snapchat_arb_002,snapchat_tos.txt,"If the dispute is not resolved within sixty days of the date that you or Snap send your Pre-Arbitration Demand, arbitration may then be filed. You agree that compliance with this subsection is a condition precedent to commencing arbitration, and that the arbitrator shall dismiss any arbitration filed without fully and completely complying with these requirements.",arbitration,MEDIUM,arbitration,MEDIUM,"This clause is arbitration because it imposes a mandatory pre-arbitration process and allows dismissal for noncompliance, creating medium risk by adding procedural barriers before a user can pursue a claim.",0.9,sixty days; pre-arbitration demand; condition precedent; dismiss any arbitration
snapchat_arb_003,snapchat_tos.txt,"Regardless of who terminates these Terms, both you and Snap Inc. continue to be bound by Sections 3, 6, 9, 10, and 13-22 of the Terms, including the arbitration agreement and class action waiver.",arbitration,MEDIUM,arbitration,LOW,"This clause is arbitration because it makes the arbitration agreement and class-action waiver survive termination of the contract, creating low risk on its own since it preserves an existing restriction rather than adding a new substantive one.",0.9,continue to be bound; survive termination; arbitration agreement; class action waiver
instagram_cr_001,instagram_tos.txt,"When you share, post, or upload content that is covered by intellectual property rights on or in connection with our Products, you grant us a non-exclusive, transferable, sub-licensable, royalty-free, and worldwide license to host, use, distribute, modify, run, copy, publicly perform or display, translate, and create derivative works of your content, consistent with your privacy and application settings.",content_rights,HIGH,content_rights,HIGH,"This clause is content_rights because it gives Meta a transferable, sublicensable, worldwide license to use, modify, display, and create derivative works from user content, which is high risk due to the breadth of reuse rights.",0.9,"non-exclusive, transferable, sub-licensable, royalty-free, worldwide; derivative works; distribute, modify"
instagram_cr_002,instagram_tos.txt,"This license will end when your content is deleted from our systems. However, content shared with others may continue to appear even after you delete it from your account. When you delete content, it is no longer visible to other users; however, it may continue to exist elsewhere on our systems where deletion is not possible due to technical limitations, in which case it will be associated with your account but not visible.",content_rights,MEDIUM,data_retention,MEDIUM,"This clause is data_retention because it explains that deleted content may remain on Meta's systems or continue to appear after deletion, creating medium risk because users may not be able to fully remove content once shared.",0.9,license will end when deleted; may continue to appear; technical limitations
instagram_cr_003,instagram_tos.txt,"While Instagram account owners retain the copyright in what they post, by using the platform they have granted a license to Meta. The terms of use state explicitly that the license they grant is non-exclusive, royalty-free, transferable, sub-licensable and worldwide. That license, however, will end when the content is removed.",content_rights,HIGH,content_rights,HIGH,"This clause is content_rights because it confirms Meta receives a worldwide, transferable, sublicensable, royalty-free license over posted content, which is high risk even though the license ends upon removal.",0.9,"retain copyright; granted license to Meta; royalty-free, transferable, sub-licensable, worldwide"
instagram_cr_004,instagram_tos.txt,"We use your data, including information about the content you create, share, and interact with, to develop and improve AI features across Meta products. We train on things that are public — we don't train on private messages or content shared only with friends.",content_rights,HIGH,tracking_profiling,HIGH,"This clause is tracking_profiling because Meta uses data about what users create, share, and interact with to develop and improve AI features across products, creating high risk through broad behavioral and content-based analysis.",0.9,develop and improve AI features; train on things that are public; Meta products
instagram_cr_005,instagram_tos.txt,"Instagram does not claim ownership rights in the text, files, images, photos, video, sounds, musical works, works of authorship, or any other materials that you post on or through the Instagram Services. However, by displaying or publishing content, you grant Instagram a non-exclusive, fully paid and royalty-free, worldwide, limited license to use, modify, delete from, add to, publicly perform, publicly display, reproduce, and translate such Content.",content_rights,HIGH,content_rights,HIGH,"This clause is content_rights because Instagram receives a worldwide, royalty-free license to use, modify, display, reproduce, and translate user content, which is high risk because the platform obtains extensive rights despite not claiming ownership.",0.9,"does not claim ownership; grants non-exclusive, royalty-free, worldwide license; publicly perform, display, reproduce"
instagram_cr_006,instagram_tos.txt,"We reserve the right to modify or terminate the Instagram service for any reason, without notice at any time. We reserve the right to alter these Terms of Use at any time. Deleted content may be stored by Instagram in order to comply with certain legal obligations and is not retrievable without a valid court order.",content_rights,MEDIUM,data_retention,LOW,"This clause is best categorized as data_retention because it states deleted content may still be stored for legal compliance, and the risk is low because the retention is framed as limited and obligation-based rather than open-ended commercial use.",0.9,modify or terminate without notice; deleted content may be stored; legal obligations
instagram_arb_001,instagram_tos.txt,"We both agree that any dispute, claim, or controversy between you and Meta that arises in whole or in part from the use of Instagram, Facebook, or any Meta Products shall be resolved by mandatory binding individual arbitration and not by a judge or jury.",arbitration,HIGH,arbitration,HIGH,"This clause is arbitration because it requires disputes with Meta to be resolved through mandatory binding individual arbitration instead of court, creating high risk by limiting judicial remedies.",0.9,mandatory binding individual arbitration; not by a judge or jury; any dispute
instagram_arb_002,instagram_tos.txt,"You and Meta agree that each of us may bring claims against the other only on an individual basis and not as a plaintiff or class member in any purported class or representative action or proceeding. Unless both you and Meta agree otherwise, the arbitrator may not consolidate or join more than one person's or party's claims.",arbitration,HIGH,arbitration,HIGH,"This clause is arbitration because it bars class and representative actions and prevents consolidation of claims, which is high risk because it weakens users' ability to pursue collective relief.",0.9,only on an individual basis; not as class member; may not consolidate
instagram_arb_003,instagram_tos.txt,"The modified dispute resolution procedures in Instagram's 2025 Terms of Service expand the scope of claims subject to mandatory individual arbitration, covering disputes arising from AI-generated content, data use for model training, and algorithmic decision-making that affects user accounts.",arbitration,HIGH,arbitration,HIGH,"This clause is arbitration because it expands mandatory individual arbitration to disputes involving AI-generated content, model training, and algorithmic decisions, making the risk high due to the broad scope of claims removed from court.",0.9,mandatory individual arbitration; AI-generated content; data use for model training; algorithmic decision-making
snapchat_tpa_001,snapchat_tos.txt,"The Services may contain advertisements. In consideration for Snap letting you access and use the Services, you agree that we, Snap Inc., our affiliates, and our third-party partners may place advertising on the Services, including personalized advertising based upon the information you provide us or we collect or obtain about you.",third_party_access,MEDIUM,third_party_access,MEDIUM,"This clause is third_party_access because it permits affiliates and third-party partners to participate in ad delivery based on user information, creating medium risk through outside involvement in personalized advertising.",0.9,third-party partners; personalized advertising; information we collect about you
snapchat_dr_001,snapchat_tos.txt,"Your content in Memories might become unavailable for any number of reasons, including things like an operational glitch or a decision on our end to terminate your account. Since we cannot guarantee that your content will always be available, we recommend keeping a copy of the content you post.",data_retention,MEDIUM,liability_limitation,MEDIUM,"This clause is liability_limitation because Snapchat disclaims any guarantee that stored Memories content will remain available and tells users to keep their own copies, creating medium risk by shifting loss and outage risk onto the user.",0.9,content unavailable; operational glitch; terminate your account; cannot guarantee
instagram_tpa_001,instagram_tos.txt,"We allow certain business partners, advertising companies, and analytics providers to collect information about your activity on Instagram using cookies, pixels, and similar tracking technologies. These third parties may combine this information with data collected from other websites to serve you targeted advertising across the internet.",third_party_access,HIGH,third_party_access,HIGH,"This clause is third_party_access because it allows advertisers and analytics providers to collect Instagram activity data and combine it with other sites' data, which is high risk due to extensive outside tracking and targeted advertising.",0.9,business partners; advertising companies; analytics providers; targeted advertising across the internet
instagram_dr_001,instagram_tos.txt,"Deleted content may be stored by Instagram in order to comply with certain legal obligations and is not retrievable without a valid court order. Consequently, Instagram encourages you to maintain your own backup of your Content. Instagram is not a backup service.",data_retention,MEDIUM,data_retention,LOW,"This clause is data_retention because it says deleted content may still be stored to meet legal obligations, and the risk is low because the retention is limited to compliance purposes rather than ongoing commercial exploitation.",0.9,deleted content may be stored; legal obligations; not retrievable; not a backup service
